input = |2-8 t: pncmjxlvckfbtrjh\n| &&
        |8-9 l: lzllllldsl\n| &&
        |3-11 c: ccchcccccclxnkcmc\n| &&
        |3-10 h: xcvxkdqshh\n| &&
        |4-5 s: gssss\n| &&
        |7-14 m: mmcmqmmxmmmnmmrmcxc\n| &&
        |3-12 n: grnxnbsmzttnzbnnn\n| &&
        |5-9 j: ddqwznjhjcjn\n| &&
        |8-9 d: fddddddmd\n| &&
        |6-8 t: qtlwttsqg\n| &&
        |7-15 m: lxzxrdbmmtvwhgm\n| &&
        |6-10 h: hhnhhhhxhkh\n| &&
        |6-8 z: zhgztgjzzfzqzzvnbmv\n| &&
        |5-6 j: jjjjgt\n| &&
        |2-3 m: mmmfxzm\n| &&
        |6-7 n: nnnqgdnn\n| &&
        |8-13 b: bbbbbbbbqjbbb\n| &&
        |7-8 k: kkgkkbskkk\n| &&
        |1-3 g: gdmvgb\n| &&
        |5-15 g: gggzgpsgsgglxgqdfggg\n| &&
        |12-16 s: snhsmxszbsszzclp\n| &&
        |2-3 n: vhnnn\n| &&
        |5-7 l: slllclllkc\n| &&
        |2-4 g: rnggggdkhjm\n| &&
        |1-3 x: wxcxhxx\n| &&
        |7-12 c: cxzcwcjqgcmpccchc\n| &&
        |4-5 x: lnfsxjxwxx\n| &&
        |9-10 n: nnnnnngnzxnnn\n| &&
        |3-4 h: rhhk\n| &&
        |3-11 r: xrrcnrjrrzsvrrplr\n| &&
        |6-11 r: rrrwrrrrrrrrrrrr\n| &&
        |3-4 x: xmxz\n| &&
        |1-2 l: lllllk\n| &&
        |5-11 h: cmxhhhhhrhd\n| &&
        |2-11 h: mhzlzshjvtcrrcf\n| &&
        |6-15 g: ggggfgwggkcggqz\n| &&
        |3-4 q: qqsc\n| &&
        |2-8 m: wmwxvmsmfqlkgzwhxqdv\n| &&
        |3-9 b: pnrdsgbbbrbgb\n| &&
        |1-7 w: ddqtjwwxgwkqsgswvwkl\n| &&
        |3-4 t: lxtt\n| &&
        |4-6 g: ggxngg\n| &&
